source_id,entry_time_utc,action,root,strike,option_right,expiry_date,quantity,fill_price,net_pnl,fees,status,opra_code
HTML_6045639903433417772,2025-09-23 13:43:00,BUY,XSP,669.0,P,2025-09-23,3.0,0.73,-220.62,0.12,FILLED,O:XSP250923P00669000
HTML_2180481248923630640,2025-09-23 13:45:00,BUY,XSP,668.0,P,2025-09-23,1.0,0.41,-40.54,0.04,FILLED,O:XSP250923P00668000
HTML_8357841320454197045,2025-09-23 14:12:00,SELL,XSP,669.0,P,2025-09-23,3.0,1.68,504.0,0.12,FILLED,O:XSP250923P00669000
HTML_2962712043096876447,2025-09-23 16:40:00,SELL,XSP,668.0,P,2025-09-23,1.0,0.79,79.0,0.04,FILLED,O:XSP250923P00668000
HTML_6574076059532232522,2025-09-23 17:32:00,SELL,XSP,671.0,C,2025-09-23,3.0,0.01,3.0,0.01,FILLED,O:XSP250923C00671000
HTML_8714126890143099224,2025-09-24 13:41:00,BUY,XSP,665.0,P,2025-09-24,3.0,0.57,-172.62,0.12,FILLED,O:XSP250924P00665000
HTML_5645168707571586813,2025-09-24 13:43:00,BUY,XSP,667.0,C,2025-09-24,5.0,0.73,-367.71,0.21,FILLED,O:XSP250924C00667000
HTML_2878295928643840214,2025-09-24 13:46:00,SELL,XSP,665.0,P,2025-09-24,3.0,0.64,192.0,0.12,FILLED,O:XSP250924P00665000
HTML_7440126779583792530,2025-09-24 13:50:00,BUY,XSP,668.0,C,2025-09-24,2.0,0.2,-41.08,0.08,FILLED,O:XSP250924C00668000
HTML_2896949578789472979,2025-09-25 13:45:00,BUY,XSP,660.0,C,2025-09-25,1.0,0.82,-82.54,0.04,FILLED,O:XSP250925C00660000
HTML_268069856202336151,2025-09-25 13:50:00,SELL,XSP,660.0,C,2025-09-25,1.0,1.12,112.0,0.04,FILLED,O:XSP250925C00660000
HTML_2686572276462801897,2025-09-26 13:41:00,BUY,XSP,660.0,P,2025-09-26,2.0,0.43,-87.08,0.08,FILLED,O:XSP250926P00660000
HTML_6299608948647365373,2025-09-26 13:51:00,BUY,XSP,662.0,P,2025-09-26,2.0,0.73,-147.08,0.08,FILLED,O:XSP250926P00662000
HTML_149783471022934596,2025-09-26 14:12:00,SELL,XSP,662.0,P,2025-09-26,2.0,1.32,264.0,0.08,FILLED,O:XSP250926P00662000
HTML_1028872660479811375,2025-09-26 14:12:00,SELL,XSP,660.0,P,2025-09-26,2.0,0.62,124.0,0.08,FILLED,O:XSP250926P00660000
HTML_976868319041559538,2025-09-29 13:43:00,BUY,XSP,666.0,P,2025-09-29,5.0,0.73,-367.71,0.21,FILLED,O:XSP250929P00666000
